DOI	SemanticScholar Citation Count	Note
10.18653/v1/2020.emnlp-main.444	3	
10.18653/v1/2020.emnlp-main.445	4	
10.18653/v1/2020.emnlp-main.446	23	
10.18653/v1/2020.emnlp-main.447	15	
10.18653/v1/2020.emnlp-main.448	17	
10.18653/v1/2020.emnlp-main.449	1	
10.18653/v1/2020.emnlp-main.450	1	
10.18653/v1/2020.emnlp-main.451	6	
10.18653/v1/2020.emnlp-main.452	0	
10.18653/v1/2020.emnlp-main.453	0	
10.18653/v1/2020.emnlp-main.454	0	
10.18653/v1/2020.emnlp-main.455	8	
10.18653/v1/2020.emnlp-main.456	1	
10.18653/v1/2020.emnlp-main.457	7	
10.18653/v1/2020.emnlp-main.458	0	
10.18653/v1/2020.emnlp-main.459	1	
10.18653/v1/2020.emnlp-main.460	13	
10.18653/v1/2020.emnlp-main.461	8	
10.18653/v1/2020.emnlp-main.462	10	
10.18653/v1/2020.emnlp-main.463	47	
10.18653/v1/2020.emnlp-main.464	8	
10.18653/v1/2020.emnlp-main.465	1	
10.18653/v1/2020.emnlp-main.466	47	
10.18653/v1/2020.emnlp-main.467	7	
10.18653/v1/2020.emnlp-main.468	25	
10.18653/v1/2020.emnlp-main.469	4	
10.18653/v1/2020.emnlp-main.470	34	
10.18653/v1/2020.emnlp-main.471	0	
10.18653/v1/2020.emnlp-main.472	5	
10.18653/v1/2020.emnlp-main.473	5	
10.18653/v1/2020.emnlp-main.474	6	
10.18653/v1/2020.emnlp-main.475	22	
10.18653/v1/2020.emnlp-main.476	5	
10.18653/v1/2020.emnlp-main.477	15	
10.18653/v1/2020.emnlp-main.478	3	
10.18653/v1/2020.emnlp-main.479	22	
10.18653/v1/2020.emnlp-main.480	37	
10.18653/v1/2020.emnlp-main.481	2	
10.18653/v1/2020.emnlp-main.482	10	
10.18653/v1/2020.emnlp-main.483	1	
10.18653/v1/2020.emnlp-main.484	91	
10.18653/v1/2020.emnlp-main.485	1	
10.18653/v1/2020.emnlp-main.486	3	
10.18653/v1/2020.emnlp-main.487	15	
10.18653/v1/2020.emnlp-main.488	16	
10.18653/v1/2020.emnlp-main.489	15	
10.18653/v1/2020.emnlp-main.490	2	
10.18653/v1/2020.emnlp-main.491	9	
10.18653/v1/2020.emnlp-main.492	2	
10.18653/v1/2020.emnlp-main.493	3	
10.18653/v1/2020.emnlp-main.494	4	
10.18653/v1/2020.emnlp-main.495	8	
10.18653/v1/2020.emnlp-main.496	46	
10.18653/v1/2020.emnlp-main.497	4	
10.18653/v1/2020.emnlp-main.498	75	
10.18653/v1/2020.emnlp-main.499	1	
10.18653/v1/2020.emnlp-main.500	90	
10.18653/v1/2020.emnlp-main.501	1	
10.18653/v1/2020.emnlp-main.502	4	
10.18653/v1/2020.emnlp-main.503	0	
10.18653/v1/2020.emnlp-main.504	0	
10.18653/v1/2020.emnlp-main.505	4	
10.18653/v1/2020.emnlp-main.506	18	
10.18653/v1/2020.emnlp-main.507	8	
10.18653/v1/2020.emnlp-main.508	11	
10.18653/v1/2020.emnlp-main.509	4	
10.18653/v1/2020.emnlp-main.510	6	
10.18653/v1/2020.emnlp-main.511	9	
10.18653/v1/2020.emnlp-main.512	9	
10.18653/v1/2020.emnlp-main.513	1	
10.18653/v1/2020.emnlp-main.514	4	
10.18653/v1/2020.emnlp-main.515	8	
10.18653/v1/2020.emnlp-main.516	8	
10.18653/v1/2020.emnlp-main.517	2	
10.18653/v1/2020.emnlp-main.518	4	
10.18653/v1/2020.emnlp-main.519	88	
10.18653/v1/2020.emnlp-main.520	5	
10.18653/v1/2020.emnlp-main.521	3	
10.18653/v1/2020.emnlp-main.522	22	
10.18653/v1/2020.emnlp-main.523	80	
10.18653/v1/2020.emnlp-main.524	15	
